Tubing Depth  (ft),Surface Weight RIH  (lbf),Surface Weight POOH  (lbf),Maximum Stress RIH  (kpsi),Maximum Stress POOH  (kpsi)
100,-9844,-7842,16.7,15.8
200,-9527,-7523,16.6,15.7
300,-9210,-7205,16.5,15.7
400,-8893,-6886,16.4,15.6
500,-8576,-6568,16.4,15.6
600,-8259,-6249,16.3,15.6
700,-7943,-5931,16.2,15.5
800,-7626,-5612,16.2,15.5
900,-7310,-5295,16.1,15.5
1000,-6994,-4977,16.1,15.5
1100,-6678,-4659,16.1,15.5
1200,-6362,-4341,16,15.5
1300,-6046,-4023,16,15.5
1400,-5729,-3705,16,15.5
1500,-5414,-3388,16,15.5
1600,-5097,-3070,16,15.5
1700,-4781,-2752,16,15.6
1800,-4465,-2434,16,15.6
1900,-4149,-2117,16,15.6
2000,-3833,-1799,16,15.7
2100,-3517,-1481,16,15.7
2200,-3200,-1163,16,15.8
2300,-2884,-844,16.1,15.9
2400,-2567,-526,16.1,15.9
2500,-2250,-207,16.1,16
2600,-1933,111,16.2,16.1
2700,-1617,430,16.2,16.2
2800,-1300,748,16.3,16.3
2900,-983,1066,16.3,16.3
3000,-667,1385,16.4,16.5
3100,-350,1703,16.5,16.6
3200,-34,2021,16.6,16.7
3300,283,2339,16.7,16.8
3400,599,2658,16.7,16.9
3500,916,2976,16.8,17
3600,1232,3294,16.9,17.2
3700,1549,3612,17,17.3
3800,1866,3930,17.1,17.4
3900,2182,4249,17.3,17.6
4000,2499,4567,17.4,17.7
4100,2815,4885,17.5,17.9
4200,3132,5204,17.6,18
4300,3449,5522,17.7,18.2
4400,3765,5840,17.9,18.3
4500,4082,6159,18,18.5
4600,4399,6477,18.2,18.7
4700,4715,6796,18.3,18.8
4800,5032,7114,18.5,19
4900,5349,7432,18.6,19.2
5000,5665,7751,18.8,19.4
5100,5982,8069,18.9,19.5
5200,6299,8388,19.1,19.7
5300,6616,8706,19.3,19.9
5400,6932,9025,19.4,20.1
5500,7249,9343,19.6,20.3
5600,7566,9661,19.8,20.5
5700,7883,9980,20,20.7
5800,8199,10298,20.1,20.9
5900,8516,10617,20.3,21.1
6000,8833,10935,20.5,21.3
6100,9150,11254,20.7,21.5
6200,9467,11572,20.9,21.7
6300,9784,11891,21.1,21.9
6400,10100,12210,21.3,22.2
6500,10417,12528,21.5,22.4
6600,10736,12849,21.5,22.4
6700,11058,13172,21.5,22.4
6800,11383,13499,21.5,22.4
6900,11712,13829,21.5,22.4
7000,12043,14163,21.5,22.4
7100,12378,14499,21.5,22.4
7200,12715,14838,21.5,22.4
7300,13055,15179,21.5,22.5
7400,13398,15524,21.5,22.5
7500,13743,15871,21.6,22.5
7600,14091,16221,21.6,22.6
7700,14444,16575,21.5,22.4
7800,14804,16937,21.2,22.2
7900,15171,17306,21,22
8000,15546,17682,21,21.8
8100,15927,18065,21.2,21.6
8200,16316,18456,21.3,21.5
8300,16712,18853,21.4,21.5
8400,17113,19257,21.3,21.4
8500,17517,19662,21.2,21.6
8600,17922,20099,21.1,21.9
8700,18304,20570,21.2,22.2
8800,18642,21044,21.5,22.5
8900,18977,21518,21.7,22.7
9000,19311,21994,22,23
9100,19643,22470,22.2,23.3
9200,19978,22953,22.3,23.2
9300,20321,23447,22.3,23
9400,20672,23952,22.2,22.9
9500,21031,24470,22.2,23
9600,21398,24999,22.2,23.1
9700,21770,25535,22.4,23.3
9800,22143,26084,22.7,23.5
9900,22503,26654,22.5,23.4
10000,22845,27224,22.4,23.2
10100,23162,27785,22.3,23.1
10200,23439,28313,22.4,23.2
10300,23655,28758,22.1,22.9
10400,23791,29097,21.8,23.1
10500,23883,29380,21.6,23.3
10600,23977,29668,21.4,23.5
10700,24065,29955,21.4,23.7
